行 ID, 订单 ID, 订单日期, 邮寄方式, 客户 ID, 客户名称, 细分, 城市, 省/自治区, 国家, 地区, 产品 ID, 类别, 子类别, 产品名称, 销售额, 数量, 折扣, 利润
53.0, CN-2018-2828982, 43242.0, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-器具-10000297, 办公用品, 器具, Hamilton Beach 炉灶, 黑色, 12675.300000000001, 13.0, 0.0, 3539.2000000000003
54.0, CN-2018-2828982, 43242.0, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-器具-10002796, 办公用品, 器具, Hamilton Beach 烤面包机, 银色, 1393.4, 13.0, 0.0, 217.0
55.0, CN-2018-2828982, 43242.0, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-收纳-10000932, 办公用品, 收纳具, Rogers 文件夹, 蓝色, 177.21999999999997, 9.0, 0.0, 68.74000000000001
56.0, US-2018-4297166, 43465.0, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-用品-10003822, 办公用品, 用品, Acme 开信刀, 蓝色, 372.35200000000003, 12.0, 0.37, -129.80800000000005
57.0, US-2018-4297166, 43465.0, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-系固-10003020, 办公用品, 系固件, Stockwell 订书钉, 每包 12 个, 171.76, 13.0, 0.37, -71.54
58.0, US-2018-4297166, 43465.0, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-系固-10004142, 办公用品, 系固件, Accos 按钉, 整包, 155.96799999999996, 11.0, 0.37, -40.992
59.0, US-2018-4292548, 43374.0, 标准级, 徐健-14590, 徐健, 公司, 黄石, 湖北, 中国, 中南, 家具-书架-10001540, 家具, 书架, Dania 古典书架, 白色, 2348.368, 10.0, 0.37, -694.5120000000001
61.0, CN-2016-3232413, 42606.0, 二级, 袁保-10405, 袁保, 公司, 阳江, 广东, 中国, 中南, 技术-复印-10001943, 技术, 复印机, 佳能 传真机, 红色, 2988.84, 10.0, 0.0, 1152.2
62.0, CN-2018-4162714, 43258.0, 一级, 马丽-16480, 马丽娜, 消费者, 邓州, 河南, 中国, 中南, 技术-设备-10004500, 技术, 设备, 松下 电话, 耐用, 2809.36, 15.0, 0.0, 332.22
63.0, CN-2016-4497265, 42390.0, 一级, 谭君-15265, 谭君, 公司, 曲阜, 山东, 中国, 华东, 办公用-标签-10002381, 办公用品, 标签, Harbour Creations 运输标签, 耐用, 310.5, 13.0, 0.0, 132.29999999999998
64.0, CN-2016-4497265, 42390.0, 一级, 谭君-15265, 谭君, 公司, 曲阜, 山东, 中国, 华东, 办公用-系固-10004216, 办公用品, 系固件, Stockwell 回形针, 混合尺寸, 289.5, 13.0, 0.0, 51.099999999999994
65.0, CN-2019-5922906, 43723.0, 二级, 钱伟-21430, 钱伟, 公司, 湛江, 广东, 中国, 中南, 技术-设备-10003635, 技术, 设备, StarTech 打印机, 耐用, 4818.08, 12.0, 0.0, 382.48
66.0, US-2016-3767771, 42723.0, 标准级, 陶武-21880, 陶武, 公司, 孝感, 湖北, 中国, 中南, 办公用-器具-10003836, 办公用品, 器具, Hoover 微波炉, 黑色, 6934.767999999999, 16.0, 0.37, -3106.432
67.0, US-2016-1166331, 42674.0, 当日, 陶聪-11725, 陶聪, 消费者, 浏阳, 湖南, 中国, 中南, 办公用-美术-10002740, 办公用品, 美术, Stanley 速写本, 蓝色, 531.616, 11.0, 0.2, -37.46400000000001
68.0, US-2016-1166331, 42674.0, 当日, 陶聪-11725, 陶聪, 消费者, 浏阳, 湖南, 中国, 中南, 办公用-纸张-10002104, 办公用品, 纸张, Green Bar 计划信息表, 每包 12 个, 425.02, 11.0, 0.0, 23.1
69.0, CN-2018-3064620, 43170.0, 二级, 韩凤-12820, 韩凤, 小型企业, 哈尔滨, 黑龙江, 中国, 东北, 技术-配件-10003980, 技术, 配件, SanDisk 路由器, 耐用, 3625.84, 11.0, 0.0, 933.6600000000001
70.0, CN-2017-3188191, 43005.0, 二级, 涂博-10585, 涂博, 消费者, 滕州, 山东, 中国, 华东, 办公用-标签-10004567, 办公用品, 标签, Smead 有色标签, 红色, 334.3, 13.0, 0.0, 149.8
71.0, CN-2017-5717181, 42993.0, 一级, 钟庆-19510, 钟庆缘, 小型企业, 北京, 北京, 中国, 华北, 办公用-信封-10002784, 办公用品, 信封, Kraft 搭扣信封, 红色, 326.59999999999997, 13.0, 0.0, 125.30000000000001
72.0, CN-2017-5717181, 42993.0, 一级, 钟庆-19510, 钟庆缘, 小型企业, 北京, 北京, 中国, 华北, 家具-书架-10000904, 家具, 书架, 宜家 书架, 传统, 606.04, 9.0, 0.0, 62.86
73.0, CN-2019-2187292, 43764.0, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 技术-电话-10000393, 技术, 电话, 三星 信号增强器, 全尺寸, 1964.3200000000002, 11.0, 0.0, 810.5999999999999
74.0, CN-2019-2187292, 43764.0, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 办公用-信封-10003279, 办公用品, 信封, Kraft 邮寄品, 每套 50 个, 561.1, 11.0, 0.0, 47.040000000000006
75.0, CN-2019-2187292, 43764.0, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 技术-电话-10001992, 技术, 电话, 三星 充电器, 全尺寸, 3008.7200000000003, 9.0, 0.0, 594.86
76.0, US-2016-3275681, 42402.0, 二级, 黄丽-15835, 黄丽, 消费者, 椒江, 浙江, 中国, 华东, 办公用-用品-10001427, 办公用品, 用品, Elite 大剪刀, 蓝色, 692.1399999999999, 13.0, 0.37, -33.460000000000036
77.0, CN-2016-5821791, 42727.0, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-系固-10000833, 办公用品, 系固件, Accos 橡皮筋, 每包 12 个, 184.36, 10.0, 0.0, 23.8
78.0, CN-2016-5821791, 42727.0, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-标签-10000918, 办公用品, 标签, Hon 圆形标签, 耐用, 132.7, 11.0, 0.0, 16.38
79.0, CN-2016-5821791, 42727.0, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-标签-10002018, 办公用品, 标签, Novimex 合法证物标签, 可调, 112.12, 10.0, 0.0, 16.24
80.0, CN-2018-4126497, 43170.0, 标准级, 钱珊-19855, 钱珊, 公司, 南昌, 江西, 中国, 华东, 办公用-标签-10002541, 办公用品, 标签, Harbour Creations 运输标签, 可调, 645.52, 22.0, 0.0, 84.28
81.0, CN-2018-4126497, 43170.0, 标准级, 钱珊-19855, 钱珊, 公司, 南昌, 江西, 中国, 华东, 办公用-用品-10003186, 办公用品, 用品, Kleencut 尺子, 钢, 154.96, 10.0, 0.0, 36.120000000000005
82.0, CN-2018-1751343, 43320.0, 当日, 彭雯-21790, 彭雯, 消费者, 西安, 陕西, 中国, 西北, 技术-复印-10002908, 技术, 复印机, 佳能 复印机, 数字化, 2477.28, 10.0, 0.0, 439.59999999999997
83.0, US-2017-1803838, 42969.0, 二级, 谢雯-21700, 谢雯, 小型企业, 叶柏寿, 辽宁, 中国, 东北, 技术-复印-10004933, 技术, 复印机, 夏普 墨水, 每套两件, 730.6959999999999, 10.0, 0.37, -395.02399999999994
84.0, US-2017-1803838, 42969.0, 二级, 谢雯-21700, 谢雯, 小型企业, 叶柏寿, 辽宁, 中国, 东北, 办公用-标签-10002776, 办公用品, 标签, Novimex 圆形标签, 可调, 92.38, 11.0, 0.0, 26.04
85.0, CN-2016-4861225, 42522.0, 标准级, 韦立-16915, 韦立, 消费者, 上海, 上海, 中国, 华东, 办公用-信封-10002440, 办公用品, 信封, Ames 外皮和封条, 回收, 605.34, 15.0, 0.0, 194.04
86.0, CN-2016-4861225, 42522.0, 标准级, 韦立-16915, 韦立, 消费者, 上海, 上海, 中国, 华东, 家具-用具-10002471, 家具, 用具, Tenex 分层置放架, 黑色, 622.7, 13.0, 0.0, 123.2
87.0, CN-2019-3172853, 43613.0, 二级, 熊丽-15805, 熊丽, 公司, 西宁, 青海, 中国, 西北, 办公用-标签-10000895, 办公用品, 标签, Harbour Creations 有色标签, 可调, 336.4, 14.0, 0.0, 45.36
88.0, CN-2018-5552260, 43307.0, 当日, 曾康-15445, 曾康, 消费者, 绵阳, 四川, 中国, 西南, 家具-用具-10001977, 家具, 用具, Eldon 框架, 优质, 1963.8159999999998, 14.0, 0.37, 192.69600000000014
89.0, US-2016-1357144, 42718.0, 标准级, 郝升-20095, 郝升, 消费者, 武汉, 湖北, 中国, 中南, 技术-电话-10002696, 技术, 电话, 思科 充电器, 混合尺寸, 7361.488, 12.0, 0.37, -3664.192000000001
90.0, CN-2016-5926511, 42691.0, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-装订-10000287, 办公用品, 装订机, Wilson Jones 孔加固材料, 实惠, 76.28, 10.0, 0.0, 10.08
91.0, CN-2016-5926511, 42691.0, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10001262, 办公用品, 收纳具, Eldon 搁板, 金属, 698.86, 11.0, 0.0, 186.06
92.0, CN-2016-5926511, 42691.0, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10003464, 办公用品, 收纳具, Rogers 盘, 金属, 601.0, 10.0, 0.0, 243.59999999999997
93.0, CN-2016-5926511, 42691.0, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10004132, 办公用品, 收纳具, Rogers 盘, 工业, 614.16, 10.0, 0.0, 255.07999999999998
94.0, US-2019-4733722, 43606.0, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-用品-10001876, 办公用品, 用品, Stiletto 大剪刀, 钢, 432.91600000000005, 11.0, 0.37, -226.46400000000006
95.0, US-2019-4733722, 43606.0, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 家具-椅子-10004416, 家具, 椅子, Novimex 折叠椅, 每套两件, 1216.7199999999998, 13.0, 0.37, -39.480000000000246
96.0, US-2019-4733722, 43606.0, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-系固-10001646, 办公用品, 系固件, OIC 夹子, 整包, 310.78000000000003, 13.0, 0.37, -14.419999999999987
97.0, US-2019-4733722, 43606.0, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-信封-10004907, 办公用品, 信封, Ames 局间信封, 银色, 699.28, 11.0, 0.0, 66.36
98.0, US-2019-4733722, 43606.0, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-美术-10002705, 办公用品, 美术, Sanford 荧光笔, 蓝色, 63.39999999999999, 10.0, 0.8, -63.27999999999998
100.0, CN-2017-1973789, 42760.0, 一级, 涂博-10585, 涂博, 消费者, 泉州, 福建, 中国, 华东, 办公用-用品-10000800, 办公用品, 用品, Elite 修剪器, 工业, 640.06, 11.0, 0.0, 48.3
101.0, CN-2017-1973789, 42760.0, 一级, 涂博-10585, 涂博, 消费者, 泉州, 福建, 中国, 华东, 办公用-器具-10004620, 办公用品, 器具, Cuisinart 咖啡研磨机, 红色, 754.7199999999999, 12.0, 0.0, 222.88
103.0, CN-2019-3665640, 43761.0, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 办公用-装订-10002223, 办公用品, 装订机, Avery 装订机, 回收, 219.64, 11.0, 0.0, 0.0
104.0, CN-2019-3665640, 43761.0, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 家具-用具-10004678, 家具, 用具, Eldon 闹钟, 优质, 2349.88, 17.0, 0.0, 69.30000000000001
105.0, CN-2019-3665640, 43761.0, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 家具-椅子-10003692, 家具, 椅子, SAFCO 扶手椅, 红色, 2187.3399999999997, 9.0, 0.0, 947.38
106.0, CN-2017-5378913, 43018.0, 一级, 彭伟-21550, 彭伟, 小型企业, 七台河, 黑龙江, 中国, 东北, 家具-椅子-10004126, 家具, 椅子, Novimex 折叠椅, 黑色, 2640.7999999999997, 15.0, 0.0, 155.82000000000002
107.0, CN-2017-5378913, 43018.0, 一级, 彭伟-21550, 彭伟, 小型企业, 七台河, 黑龙江, 中国, 东北, 技术-配件-10004359, 技术, 配件, Memorex 键区, 回收, 837.0400000000001, 12.0, 0.0, 96.32
108.0, CN-2018-2045726, 43390.0, 一级, 巩关-15595, 巩关茵, 公司, 徐州, 江苏, 中国, 华东, 办公用-用品-10001026, 办公用品, 用品, Fiskars 修剪器, 锯齿状, 580.0000000000001, 13.0, 0.37, 81.89999999999998
109.0, CN-2018-2045726, 43390.0, 一级, 巩关-15595, 巩关茵, 公司, 徐州, 江苏, 中国, 华东, 技术-复印-10001588, 技术, 复印机, Hewlett 复印机, 彩色, 4487.847999999999, 14.0, 0.37, -1484.9519999999998
110.0, CN-2019-2328434, 43720.0, 一级, 黄娟-15130, 黄娟, 消费者, 扬州, 江苏, 中国, 华东, 办公用-纸张-10003708, 办公用品, 纸张, Eaton 计划信息表, 每包 12 个, 380.08, 11.0, 0.0, 17.22
111.0, CN-2018-3984376, 43317.0, 二级, 陈莲-16930, 陈莲, 公司, 北京, 北京, 中国, 华北, 办公用-装订-10000285, 办公用品, 装订机, Acco 孔加固材料, 透明, 119.68, 11.0, 0.0, 38.22
112.0, CN-2019-5057492, 43493.0, 二级, 韦锦-14950, 韦锦, 消费者, 株洲, 湖南, 中国, 中南, 办公用-器具-10003636, 办公用品, 器具, KitchenAid 微波炉, 黑色, 1479.5, 9.0, 0.0, 28.84
113.0, CN-2019-1118317, 43605.0, 标准级, 谭珊-19900, 谭珊, 消费者, 青冈, 黑龙江, 中国, 东北, 技术-电话-10003105, 技术, 电话, 诺基亚 办公室电话机, 整包, 947.08, 11.0, 0.0, 355.74
114.0, CN-2018-1498643, 43273.0, 当日, 牛德-12190, 牛德伟, 消费者, 新泰, 山东, 中国, 华东, 技术-配件-10004442, 技术, 配件, 贝尔金 路由器, 耐用, 2450.96, 10.0, 0.0, 1015.0
115.0, CN-2018-1498643, 43273.0, 当日, 牛德-12190, 牛德伟, 消费者, 新泰, 山东, 中国, 华东, 办公用-用品-10002859, 办公用品, 用品, Fiskars 大剪刀, 工业, 1183.4, 13.0, 0.0, 298.2
116.0, US-2019-4595101, 43517.0, 二级, 马惠-14335, 马惠英, 公司, 仪征, 江苏, 中国, 华东, 办公用-美术-10002408, 办公用品, 美术, Stanley 铅笔刀, 整包, 174.27999999999994, 14.0, 0.8, -336.84000000000003
117.0, US-2019-4595101, 43517.0, 二级, 马惠-14335, 马惠英, 公司, 仪征, 江苏, 中国, 华东, 办公用-装订-10003175, 办公用品, 装订机, Avery 装订机, 实惠, 142.35999999999999, 11.0, 0.37, 12.600000000000009
118.0, CN-2017-3269021, 43016.0, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-信封-10002440, 办公用品, 信封, Ames 外皮和封条, 回收, 523.72, 14.0, 0.0, 166.32
