行ID,订单ID,订单日期,发货日期,邮寄方式,客户ID,客户名称,细分,城市,省/自治区,国家,地区,产品ID,类别,子类别,产品名称,销售额,数量,折扣,利润,
35, US-2018-1966627,43423,43427, 标准级, 巩虢-13495, 巩虢, 公司, 宁波, 浙江, 中国, 华东, 家具-书架-10002226, 家具, 书架, Dania 书架, 白色,1424.032,12,0.37,-486.528
36, CN-2018-1190387,43159,43160, 一级, 常松-20575, 常松, 消费者, 上海, 上海, 中国, 华东, 家具-用具-10002645, 家具, 用具, Advantus 灯泡, 耐用,433,13,0,0
37, CN-2018-3216455,43346,43349, 二级, 田黎-16450, 田黎明, 公司, 厦门, 福建, 中国, 华东, 办公用-美术-10001683, 办公用品, 美术, Boston 画布, 蓝色,284.32,9,0,32.48
38, CN-2018-4690757,43360,43364, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 办公用-纸张-10003357, 办公用品, 纸张, Green Bar 笔记本, 优质,868.12,14,0,399.84
39, CN-2018-4690757,43360,43364, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 办公用-收纳-10002029, 办公用品, 收纳具, Smead 盘, 工业,262.48,9,0,77.56
40, CN-2018-4690757,43360,43364, 标准级, 谭乐-17815, 谭乐, 消费者, 宿州, 安徽, 中国, 华东, 家具-桌子-10001094, 家具, 桌子, Lesro 培训桌, 长方形,966.295,9,0.25,-211.365
41, CN-2018-4674220,43283,43286, 一级, 徐岱-11875, 徐岱, 公司, 兰州, 甘肃, 中国, 西北, 办公用-纸张-10002597, 办公用品, 纸张, SanDisk 羊皮纸, 每包 12 个,325.9,11,0,107.94
42, US-2018-3857264,43307,43313, 标准级, 武杰-14815, 武杰, 小型企业, 淮阴, 江苏, 中国, 华东, 办公用-器具-10004757, 办公用品, 器具, Breville 炉灶, 黑色,9458.296,14,0.37,-2042.544
43, CN-2018-4054371,43458,43460, 二级, 吕兰-15700, 吕兰, 消费者, 肇源, 黑龙江, 中国, 东北, 办公用-器具-10003452, 办公用品, 器具, KitchenAid 搅拌机, 黑色,4161.76,17,0,1650.6
44, CN-2016-2932548,42507,42512, 二级, 唐婉-21385, 唐婉, 小型企业, 南昌, 江西, 中国, 华东, 办公用-收纳-10004212, 办公用品, 收纳具, Fellowes 锁柜, 蓝色,1969.08,10,0,0
45, CN-2016-2932548,42507,42512, 二级, 唐婉-21385, 唐婉, 小型企业, 南昌, 江西, 中国, 华东, 办公用-美术-10001691, 办公用品, 美术, Sanford 钢笔, 混合尺寸,300.56,12,0,50.4
46, CN-2018-3476344,43297,43301, 标准级, 葛毅-12505, 葛毅, 消费者, 合肥, 安徽, 中国, 华东, 办公用-装订-10000749, 办公用品, 装订机, Ibico 打孔机, 透明,731.9,13,0,236.6
47, US-2018-5956361,43267,43269, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 办公用-美术-10001467, 办公用品, 美术, Boston 速写本, 蓝色,306.16,14,0.8,-1020.6
48, US-2018-5956361,43267,43269, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 技术-电话-10004349, 技术, 电话, 诺基亚 充电器, 蓝色,1814.968,9,0.37,237.328
49, US-2018-5956361,43267,43269, 二级, 邹涛-21265, 邹涛, 公司, 内江, 四川, 中国, 西南, 办公用-信封-10002675, 办公用品, 信封, Ames 邮寄品, 银色,391,10,0,149.8
50, CN-2019-2396895,43635,43638, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 技术-电话-10004015, 技术, 电话, 思科 充电器, 全尺寸,12217.36,12,0,1340.08
51, CN-2019-2396895,43635,43638, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 技术-复印-10003216, 技术, 复印机, Hewlett 传真机, 彩色,3033.36,10,0,1229.48
52, CN-2019-2396895,43635,43638, 二级, 薛磊-15985, 薛磊, 消费者, 蛟河, 吉林, 中国, 东北, 办公用-收纳-10000501, 办公用品, 收纳具, Tenex 盘, 工业,544.44,10,0,224.56
53, CN-2018-2828982,43242,43246, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-器具-10000297, 办公用品, 器具, Hamilton Beach 炉灶, 黑色,12675.3,13,0,3539.2
54, CN-2018-2828982,43242,43246, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-器具-10002796, 办公用品, 器具, Hamilton Beach 烤面包机, 银色,1393.4,13,0,217
55, CN-2018-2828982,43242,43246, 标准级, 苏晒-19825, 苏晒明, 消费者, 青岛, 山东, 中国, 华东, 办公用-收纳-10000932, 办公用品, 收纳具, Rogers 文件夹, 蓝色,177.22,9,0,68.74
56, US-2018-4297166,43465,43104, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-用品-10003822, 办公用品, 用品, Acme 开信刀, 蓝色,372.352,12,0.37,-129.808
57, US-2018-4297166,43465,43104, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-系固-10003020, 办公用品, 系固件, Stockwell 订书钉, 每包 12 个,171.76,13,0.37,-71.54
58, US-2018-4297166,43465,43104, 标准级, 林丹-11980, 林丹, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-系固-10004142, 办公用品, 系固件, Accos 按钉, 整包,155.968,11,0.37,-40.992
59, US-2018-4292548,43374,43380, 标准级, 徐健-14590, 徐健, 公司, 黄石, 湖北, 中国, 中南, 家具-书架-10001540, 家具, 书架, Dania 古典书架, 白色,2348.368,10,0.37,-694.512
61, CN-2016-3232413,42606,42609, 二级, 袁保-10405, 袁保, 公司, 阳江, 广东, 中国, 中南, 技术-复印-10001943, 技术, 复印机, 佳能 传真机, 红色,2988.84,10,0,1152.2
62, CN-2018-4162714,43258,43261, 一级, 马丽-16480, 马丽娜, 消费者, 邓州, 河南, 中国, 中南, 技术-设备-10004500, 技术, 设备, 松下 电话, 耐用,2809.36,15,0,332.22
63, CN-2016-4497265,42390,42392, 一级, 谭君-15265, 谭君, 公司, 曲阜, 山东, 中国, 华东, 办公用-标签-10002381, 办公用品, 标签, Harbour Creations 运输标签, 耐用,310.5,13,0,132.3
64, CN-2016-4497265,42390,42392, 一级, 谭君-15265, 谭君, 公司, 曲阜, 山东, 中国, 华东, 办公用-系固-10004216, 办公用品, 系固件, Stockwell 回形针, 混合尺寸,289.5,13,0,51.1
65, CN-2019-5922906,43723,43725, 二级, 钱伟-21430, 钱伟, 公司, 湛江, 广东, 中国, 中南, 技术-设备-10003635, 技术, 设备, StarTech 打印机, 耐用,4818.08,12,0,382.48
66, US-2016-3767771,42723,42728, 标准级, 陶武-21880, 陶武, 公司, 孝感, 湖北, 中国, 中南, 办公用-器具-10003836, 办公用品, 器具, Hoover 微波炉, 黑色,6934.768,16,0.37,-3106.432
67, US-2016-1166331,42674,42675, 当日, 陶聪-11725, 陶聪, 消费者, 浏阳, 湖南, 中国, 中南, 办公用-美术-10002740, 办公用品, 美术, Stanley 速写本, 蓝色,531.616,11,0.2,-37.464
68, US-2016-1166331,42674,42675, 当日, 陶聪-11725, 陶聪, 消费者, 浏阳, 湖南, 中国, 中南, 办公用-纸张-10002104, 办公用品, 纸张, Green Bar 计划信息表, 每包 12 个,425.02,11,0,23.1
69, CN-2018-3064620,43170,43175, 二级, 韩凤-12820, 韩凤, 小型企业, 哈尔滨, 黑龙江, 中国, 东北, 技术-配件-10003980, 技术, 配件, SanDisk 路由器, 耐用,3625.84,11,0,933.66
70, CN-2017-3188191,43005,43010, 二级, 涂博-10585, 涂博, 消费者, 滕州, 山东, 中国, 华东, 办公用-标签-10004567, 办公用品, 标签, Smead 有色标签, 红色,334.3,13,0,149.8
71, CN-2017-5717181,42993,42996, 一级, 钟庆-19510, 钟庆缘, 小型企业, 北京, 北京, 中国, 华北, 办公用-信封-10002784, 办公用品, 信封, Kraft 搭扣信封, 红色,326.6,13,0,125.3
72, CN-2017-5717181,42993,42996, 一级, 钟庆-19510, 钟庆缘, 小型企业, 北京, 北京, 中国, 华北, 家具-书架-10000904, 家具, 书架, 宜家 书架, 传统,606.04,9,0,62.86
73, CN-2019-2187292,43764,43766, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 技术-电话-10000393, 技术, 电话, 三星 信号增强器, 全尺寸,1964.32,11,0,810.6
74, CN-2019-2187292,43764,43766, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 办公用-信封-10003279, 办公用品, 信封, Kraft 邮寄品, 每套 50 个,561.1,11,0,47.04
75, CN-2019-2187292,43764,43766, 二级, 孟刚-13180, 孟刚, 公司, 重庆, 重庆, 中国, 西南, 技术-电话-10001992, 技术, 电话, 三星 充电器, 全尺寸,3008.72,9,0,594.86
76, US-2016-3275681,42402,42406, 二级, 黄丽-15835, 黄丽, 消费者, 椒江, 浙江, 中国, 华东, 办公用-用品-10001427, 办公用品, 用品, Elite 大剪刀, 蓝色,692.14,13,0.37,-33.46
77, CN-2016-5821791,42727,42731, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-系固-10000833, 办公用品, 系固件, Accos 橡皮筋, 每包 12 个,184.36,10,0,23.8
78, CN-2016-5821791,42727,42731, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-标签-10000918, 办公用品, 标签, Hon 圆形标签, 耐用,132.7,11,0,16.38
79, CN-2016-5821791,42727,42731, 标准级, 倪幂-18085, 倪幂, 消费者, 西安, 陕西, 中国, 西北, 办公用-标签-10002018, 办公用品, 标签, Novimex 合法证物标签, 可调,112.12,10,0,16.24
80, CN-2018-4126497,43170,43175, 标准级, 钱珊-19855, 钱珊, 公司, 南昌, 江西, 中国, 华东, 办公用-标签-10002541, 办公用品, 标签, Harbour Creations 运输标签, 可调,645.52,22,0,84.28
81, CN-2018-4126497,43170,43175, 标准级, 钱珊-19855, 钱珊, 公司, 南昌, 江西, 中国, 华东, 办公用-用品-10003186, 办公用品, 用品, Kleencut 尺子, 钢,154.96,10,0,36.12
82, CN-2018-1751343,43320,43320, 当日, 彭雯-21790, 彭雯, 消费者, 西安, 陕西, 中国, 西北, 技术-复印-10002908, 技术, 复印机, 佳能 复印机, 数字化,2477.28,10,0,439.6
83, US-2017-1803838,42969,42974, 二级, 谢雯-21700, 谢雯, 小型企业, 叶柏寿, 辽宁, 中国, 东北, 技术-复印-10004933, 技术, 复印机, 夏普 墨水, 每套两件,730.696,10,0.37,-395.024
84, US-2017-1803838,42969,42974, 二级, 谢雯-21700, 谢雯, 小型企业, 叶柏寿, 辽宁, 中国, 东北, 办公用-标签-10002776, 办公用品, 标签, Novimex 圆形标签, 可调,92.38,11,0,26.04
85, CN-2016-4861225,42522,42527, 标准级, 韦立-16915, 韦立, 消费者, 上海, 上海, 中国, 华东, 办公用-信封-10002440, 办公用品, 信封, Ames 外皮和封条, 回收,605.34,15,0,194.04
86, CN-2016-4861225,42522,42527, 标准级, 韦立-16915, 韦立, 消费者, 上海, 上海, 中国, 华东, 家具-用具-10002471, 家具, 用具, Tenex 分层置放架, 黑色,622.7,13,0,123.2
87, CN-2019-3172853,43613,43618, 二级, 熊丽-15805, 熊丽, 公司, 西宁, 青海, 中国, 西北, 办公用-标签-10000895, 办公用品, 标签, Harbour Creations 有色标签, 可调,336.4,14,0,45.36
88, CN-2018-5552260,43307,43307, 当日, 曾康-15445, 曾康, 消费者, 绵阳, 四川, 中国, 西南, 家具-用具-10001977, 家具, 用具, Eldon 框架, 优质,1963.816,14,0.37,192.696
89, US-2016-1357144,42718,42722, 标准级, 郝升-20095, 郝升, 消费者, 武汉, 湖北, 中国, 中南, 技术-电话-10002696, 技术, 电话, 思科 充电器, 混合尺寸,7361.488,12,0.37,-3664.192
90, CN-2016-5926511,42691,42696, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-装订-10000287, 办公用品, 装订机, Wilson Jones 孔加固材料, 实惠,76.28,10,0,10.08
91, CN-2016-5926511,42691,42696, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10001262, 办公用品, 收纳具, Eldon 搁板, 金属,698.86,11,0,186.06
92, CN-2016-5926511,42691,42696, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10003464, 办公用品, 收纳具, Rogers 盘, 金属,601,10,0,243.6
93, CN-2016-5926511,42691,42696, 标准级, 程聪-11620, 程聪, 消费者, 韩城, 陕西, 中国, 西北, 办公用-收纳-10004132, 办公用品, 收纳具, Rogers 盘, 工业,614.16,10,0,255.08
94, US-2019-4733722,43606,43609, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-用品-10001876, 办公用品, 用品, Stiletto 大剪刀, 钢,432.916,11,0.37,-226.464
95, US-2019-4733722,43606,43609, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 家具-椅子-10004416, 家具, 椅子, Novimex 折叠椅, 每套两件,1216.72,13,0.37,-39.48
96, US-2019-4733722,43606,43609, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-系固-10001646, 办公用品, 系固件, OIC 夹子, 整包,310.78,13,0.37,-14.42
97, US-2019-4733722,43606,43609, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-信封-10004907, 办公用品, 信封, Ames 局间信封, 银色,699.28,11,0,66.36
98, US-2019-4733722,43606,43609, 二级, 顾黎-16360, 顾黎明, 消费者, 盐城, 江苏, 中国, 华东, 办公用-美术-10002705, 办公用品, 美术, Sanford 荧光笔, 蓝色,63.4,10,0.8,-63.28
100, CN-2017-1973789,42760,42763, 一级, 涂博-10585, 涂博, 消费者, 泉州, 福建, 中国, 华东, 办公用-用品-10000800, 办公用品, 用品, Elite 修剪器, 工业,640.06,11,0,48.3
101, CN-2017-1973789,42760,42763, 一级, 涂博-10585, 涂博, 消费者, 泉州, 福建, 中国, 华东, 办公用-器具-10004620, 办公用品, 器具, Cuisinart 咖啡研磨机, 红色,754.72,12,0,222.88
103, CN-2019-3665640,43761,43766, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 办公用-装订-10002223, 办公用品, 装订机, Avery 装订机, 回收,219.64,11,0,0
104, CN-2019-3665640,43761,43766, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 家具-用具-10004678, 家具, 用具, Eldon 闹钟, 优质,2349.88,17,0,69.3
105, CN-2019-3665640,43761,43766, 二级, 孙辉-12625, 孙辉, 小型企业, 天津, 天津, 中国, 华北, 家具-椅子-10003692, 家具, 椅子, SAFCO 扶手椅, 红色,2187.34,9,0,947.38
106, CN-2017-5378913,43018,43020, 一级, 彭伟-21550, 彭伟, 小型企业, 七台河, 黑龙江, 中国, 东北, 家具-椅子-10004126, 家具, 椅子, Novimex 折叠椅, 黑色,2640.8,15,0,155.82
107, CN-2017-5378913,43018,43020, 一级, 彭伟-21550, 彭伟, 小型企业, 七台河, 黑龙江, 中国, 东北, 技术-配件-10004359, 技术, 配件, Memorex 键区, 回收,837.04,12,0,96.32
108, CN-2018-2045726,43390,43391, 一级, 巩关-15595, 巩关茵, 公司, 徐州, 江苏, 中国, 华东, 办公用-用品-10001026, 办公用品, 用品, Fiskars 修剪器, 锯齿状,580,13,0.37,81.9
109, CN-2018-2045726,43390,43391, 一级, 巩关-15595, 巩关茵, 公司, 徐州, 江苏, 中国, 华东, 技术-复印-10001588, 技术, 复印机, Hewlett 复印机, 彩色,4487.848,14,0.37,-1484.952
110, CN-2019-2328434,43720,43723, 一级, 黄娟-15130, 黄娟, 消费者, 扬州, 江苏, 中国, 华东, 办公用-纸张-10003708, 办公用品, 纸张, Eaton 计划信息表, 每包 12 个,380.08,11,0,17.22
111, CN-2018-3984376,43317,43319, 二级, 陈莲-16930, 陈莲, 公司, 北京, 北京, 中国, 华北, 办公用-装订-10000285, 办公用品, 装订机, Acco 孔加固材料, 透明,119.68,11,0,38.22
112, CN-2019-5057492,43493,43498, 二级, 韦锦-14950, 韦锦, 消费者, 株洲, 湖南, 中国, 中南, 办公用-器具-10003636, 办公用品, 器具, KitchenAid 微波炉, 黑色,1479.5,9,0,28.84
113, CN-2019-1118317,43605,43610, 标准级, 谭珊-19900, 谭珊, 消费者, 青冈, 黑龙江, 中国, 东北, 技术-电话-10003105, 技术, 电话, 诺基亚 办公室电话机, 整包,947.08,11,0,355.74
114, CN-2018-1498643,43273,43273, 当日, 牛德-12190, 牛德伟, 消费者, 新泰, 山东, 中国, 华东, 技术-配件-10004442, 技术, 配件, 贝尔金 路由器, 耐用,2450.96,10,0,1015
115, CN-2018-1498643,43273,43273, 当日, 牛德-12190, 牛德伟, 消费者, 新泰, 山东, 中国, 华东, 办公用-用品-10002859, 办公用品, 用品, Fiskars 大剪刀, 工业,1183.4,13,0,298.2
116, US-2019-4595101,43517,43520, 二级, 马惠-14335, 马惠英, 公司, 仪征, 江苏, 中国, 华东, 办公用-美术-10002408, 办公用品, 美术, Stanley 铅笔刀, 整包,174.28,14,0.8,-336.84
117, US-2019-4595101,43517,43520, 二级, 马惠-14335, 马惠英, 公司, 仪征, 江苏, 中国, 华东, 办公用-装订-10003175, 办公用品, 装订机, Avery 装订机, 实惠,142.36,11,0.37,12.6
118, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-信封-10002440, 办公用品, 信封, Ames 外皮和封条, 回收,523.72,14,0,166.32
119, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 技术-设备-10003147, 技术, 设备, StarTech 收据打印机, 红色,335.644,9,0.37,-170.996
120, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-信封-10000118, 办公用品, 信封, GlobeWeis 马尼拉纸信封, 银色,312.04,10,0,27.72
121, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 技术-配件-10002633, 技术, 配件, 罗技 记忆卡, 耐用,1194.208,12,0.37,173.488
122, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 技术-电话-10002475, 技术, 电话, 诺基亚 办公室电话机, 全尺寸,1335.832,15,0.37,-195.608
123, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-收纳-10000793, 办公用品, 收纳具, Smead 锁柜, 单宽度,2812.3,11,0,222.18
124, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-信封-10000562, 办公用品, 信封, Kraft 搭扣信封, 银色,246.8,12,0,97.44
125, CN-2017-3269021,43016,43016, 当日, 冯丽-17350, 冯丽丽, 消费者, 镇江, 江苏, 中国, 华东, 办公用-用品-10004613, 办公用品, 用品, Elite 美工刀, 工业,238.456,10,0.37,-47.824
126, CN-2017-2594036,42781,42787, 标准级, 雷木-18415, 雷木兰, 消费者, 杭州, 浙江, 中国, 华东, 家具-椅子-10001116, 家具, 椅子, Hon 摇椅, 红色,765.472,10,0.37,60.872
127, US-2016-3737485,42728,42730, 二级, 马惠-14335, 马惠英, 公司, 杭州, 浙江, 中国, 华东, 技术-配件-10004773, 技术, 配件, 贝尔金 闪存驱动器, 回收,590.5,13,0.37,-343.7
128, CN-2018-3815654,43158,43163, 标准级, 丁妮-18610, 丁妮, 公司, 禹州, 河南, 中国, 中南, 技术-复印-10003823, 技术, 复印机, 惠普 墨水, 彩色,3070.6,13,0,1335.6
129, US-2019-2352370,43719,43725, 标准级, 沈聪-11710, 沈聪, 消费者, 沈阳, 辽宁, 中国, 东北, 技术-配件-10002905, 技术, 配件, Enermax 键盘, 实惠,1436.128,14,0.37,-163.632
130, US-2019-2352370,43719,43725, 标准级, 沈聪-11710, 沈聪, 消费者, 沈阳, 辽宁, 中国, 东北, 办公用-装订-10002241, 办公用品, 装订机, Cardinal 订书机, 透明,1550.284,19,0.37,-682.836
131, CN-2017-2554132,42933,42933, 当日, 吕凤-12910, 吕凤, 小型企业, 珠海, 广东, 中国, 中南, 办公用-标签-10002989, 办公用品, 标签, Hon 运输标签, 白色,511.54,17,0,56.7
